en_text,bn_text
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
"Once upon a time, in a small village...","এক সময়ের কথা, একটি ছোট্ট গ্রামে..."
"He was brave and courageous, always helping others.","সে সাহসী এবং উদার ছিল, সবসময় অন্যদের সাহায্য করত।"
She opened the door and saw a beautiful garden.,সে দরজা খুলে দেখল একটি সুন্দর বাগান।
The adventure began on a misty morning.,অভিযান শুরু হয়েছিল কুয়াশাচ্ছন্ন সকালে।
"Greetings, it is an honor to meet you.","শুভেচ্ছা, আপনাকে সম্মান জানাতে পেরে আমি আনন্দিত।"
"Hey, what's up?","আরে, কেমন আছ?"
Please accept my heartfelt congratulations.,অনুগ্রহ করে আমার আন্তরিক অভিনন্দন গ্রহণ করুন।
Cool! That's awesome!,কুল! এটি দুর্দান্ত!
"Hello, good to see you!","হ্যালো, আপনাকে দেখে ভালো লাগলো!"
"Goodbye, have a great day!","বিদায়, আপনার দিন শুভ হোক!"
Thank you very much for your help.,আপনার সহায়তার জন্য অনেক ধন্যবাদ।
I appreciate it.,আমি এটি প্রশংসা করি।
You're welcome!,আপনার স্বাগতম!
How are you doing?,আপনি কেমন আছেন?
Where is the nearest hospital?,নিকটতম হাসপাতাল কোথায়?
Could you tell me the time?,আপনি কি সময় বলতে পারেন?
What is your favorite color?,আপনার প্রিয় রঙ কী?
How do I get to the train station?,আমি কীভাবে ট্রেন স্টেশনে পৌঁছাতে পারি?
Please open the window.,দয়া করে জানালাটি খুলুন।
Call me when you arrive.,আপনি যখন পৌঁছাবেন তখন আমাকে কল করুন।
Take a seat.,একটি আসন গ্রহণ করুন।
Can you please bring me some water?,আপনি কি আমাকে একটু পানি আনতে পারেন?
Finish your homework before going out.,বাইরে যাওয়ার আগে আপনার কাজ শেষ করুন।
The sky is blue.,আকাশ নীল।
Water boils at 100 degrees Celsius.,জল ১০০ ডিগ্রি সেলসিয়াসে ফোটে।
Elephants are the largest land animals.,হাতিরা স্থল প্রাণীদের মধ্যে সবচেয়ে বড়।
Bengaluru is known as the Silicon Valley of India.,বেঙ্গালুরুকে ভারতের সিলিকন ভ্যালি বলা হয়।
Flowers bloom in spring.,বসন্তে ফুল ফোটে।
"A: Hi! How was your day? B: It was good, thanks!","ক: হাই! আপনার দিন কেমন গেল? খ: ভালো ছিল, ধন্যবাদ!"
A: What did you have for lunch? B: I had a sandwich.,ক: আপনি দুপুরের খাবারে কি খেয়েছেন? খ: আমি স্যান্ডউইচ খেয়েছি।
